Athlete,Country,06.12.2025,16.03.2025,25.01.2025,28.12.2025
Alemasi Kahanbai,CHN,,,71.54200000000003,
Alexander Farthofer,AUT,37.00400000000002,,,
Andrea Giovannini,ITA,17.434000000000083,,25.172000000000025,
Andrey Zuyev,KAZ,73.57400000000007,,,
Bart Swings,BEL,8.204000000000065,,16.03200000000004,
Beau Snellink,NED,28.224000000000046,,1.5120000000000573,25.269999999999982
Casey Dawson,USA,11.874000000000024,14.336000000000013,7.601999999999975,
Chris Huizinga,NED,21.494000000000028,17.385999999999967,7.29200000000003,4.82000000000005
Daan Gelling,NED,,,,18.720000000000027
Daan van der Elst,BEL,80.6640000000001,,,
Daniel Hall,CAN,60.00400000000002,,49.01200000000006,
Daniil Naidenyshev,RUS,39.98400000000004,,,
Davide Ghiotto,ITA,-3.175999999999931,-6.26400000000001,-12.13799999999992,
Ethan Cepuran,USA,41.204000000000065,,31.142000000000053,
Felix Maly,GER,31.58400000000006,19.216000000000008,5.5919999999999845,
Fridtjof Petzold,GER,16.33400000000006,,30.922000000000025,
Gabriel Groß,GER,26.524000000000115,,,
Giovanni Trebouta,FRA,25.544000000000096,,79.53200000000004,
Graeme Fish,CAN,24.874000000000024,21.135999999999967,2.272000000000048,
Hallgeir Engebråten,NOR,,,47.932000000000016,
Hanbin Liu,CHN,,,21.47199999999998,
Jaewon Chung,KOR,38.50400000000002,,,
Jason Suttels,BEL,,39.625999999999976,33.02200000000005,
Jasper Krommenhoek,NED,,,,26.50999999999999
Jonathan Tobon,USA,,,68.00200000000007,
Jorrit Bergsma,NED,8.914000000000101,4.716000000000008,9.562000000000012,-0.4900000000000091
Kars Jansman,NED,13.104000000000042,,,7.470000000000027
Kelin Dunfee,USA,55.1640000000001,,,
Kristian Gamme Ulekleiv,NOR,,,31.262000000000057,
Livio Wenger,SUI,,,38.591999999999985,
Lukas Stekly,SVK,55.50400000000002,,56.11200000000008,
Manuel Ghiotto,ITA,17.994000000000028,,,
Marcel Bosker,NED,35.794000000000096,,28.632000000000062,-0.029999999999972715
Marwin Talsma,NED,,,33.37200000000007,39.06000000000006
Mateusz Śliwka,POL,49.134000000000015,,,
Metoděj Jílek,CZE,-6.91599999999994,-0.8840000000000146,-0.018000000000029104,
Michele Malfatti,ITA,25.08400000000006,,19.262000000000057,
Miguel Bravo,POR,64.71400000000006,,,
Motonaga Arito,JPN,41.92400000000009,,,
Nichika Endo,JPN,,,62.54200000000003,
Oddbjørn Mellemstrand,NOR,52.61400000000003,,,
Patrick Beckert,GER,28.424000000000092,,24.451999999999998,
Peter Michael,NZL,39.204000000000065,,59.55200000000002,
Philip Due Schmidt,DEN,74.1640000000001,,,
Remco Stam,NED,,,,15.549999999999955
Riccardo Lorello,ITA,10.384000000000015,,21.692000000000007,
Riku Tsuchiya,JPN,37.93400000000008,,28.942000000000007,
Sander Eitrem,NOR,4.794000000000096,4.916000000000054,0.21199999999998909,
Seitaro Ichinohe,JPN,,,47.71199999999999,
Seung-Hoon Lee,KOR,,,26.97199999999998,
Seung-Min Jo,KOR,43.884000000000015,,,
Severin Widmer,SUI,56.284000000000106,,,
Shoumu Sasaki,JPN,54.05400000000009,,53.101999999999975,
Sigurd Henriksen,NOR,12.224000000000046,,24.012000000000057,
Sigurd Holbø Dyrset,NOR,48.64400000000012,,,
Stijn van de Bunt,NED,,,,-9.659999999999968
Szymon Palka,POL,40.07400000000007,,,
Taiyo Morino,JPN,29.944000000000074,,36.742000000000075,
Ted-Jan Bloemen,CAN,14.664000000000101,5.6860000000000355,23.312000000000012,
Thibault Métraux,SUI,31.804000000000087,,34.902000000000044,
Timothy Loubineaud,FRA,0.06400000000007822,13.30600000000004,6.351999999999975,
Tjerk de Boer,NED,,,,33.02999999999997
Viktor Hald Thorup,DEN,15.33400000000006,,40.05200000000002,
Vitaliy Chshigolev,KAZ,,,47.97199999999998,
Vladimir Semirunniy,POL,-8.495999999999981,-2.4840000000000373,12.22199999999998,
Wenhao Li,CHN,42.794000000000096,,,
Wisse Slendebroek,NED,,,,5.360000000000014
Yu Wu,CHN,28.704000000000065,,23.23199999999997,
Zhenlong Cong,CHN,30.314000000000078,,32.202,
