Athlete,Country,02.02.2025,23.11.2025
Aleksandr Klenko,KAZ,,3.0099999999999625
Alexander Farthofer,AUT,,1.4699999999999704
Anna Ostlender,GER,,-1.3100000000000307
Bjørn Magnussen,NOR,-0.1479999999999677,
Bálint Bödei,HUN,,-0.29000000000002046
Cosmin Nedelea,ROU,,4.289999999999964
Hendrik Dombek,GER,0.40200000000004366,
Iga Wojtasik,POL,,4.239999999999981
Ivanie Blondin,CAN,-0.1479999999999677,
Lucie Korvasova,CZE,,6.519999999999982
Martyna Baran,POL,5.81200000000004,
Nikola Zdráhalova,CZE,3.0620000000000402,
Nil Llop Izquierdo,ESP,1.492000000000047,
Sarah Warren,USA,1.492000000000047,
Seong-Hyeon Park,KOR,,3.7899999999999636
Serena Pergher,ITA,3.212000000000046,
Severin Widmer,SUI,13.592000000000041,
Tuukka Suomalainen,FIN,,2.8999999999999773
Wenjing Jin,CHN,,1.799999999999983
Wesly Dijs,NED,-1.5979999999999563,-1.670000000000016
