Athlete,Country,02.02.2025,02.03.2025,14.03.2025,14.12.2025,16.11.2025,23.11.2025
Ahenaer Adake,CHN,2.0,2.7239999999999895,9.466000000000008,,,
Alice Marletti,ITA,4.22999999999999,2.7040000000000077,10.376000000000005,,10.648000000000025,
Antoinette Rijpma-de Jong,NED,-2.819999999999993,-4.295999999999992,-0.9839999999999804,,0.2580000000000098,-5.033999999999992
Arianna Fontana,ITA,4.22999999999999,2.7040000000000077,,,,5.346000000000004
Arina Ilyachshenko,KAZ,,,,0.9039999999999964,3.4080000000000155,0.1560000000000059
Aurora Grinden Løvås,NOR,4.449999999999989,6.093999999999994,6.906000000000006,0.02400000000000091,7.038000000000011,3.3559999999999945
Ayano Sato,JPN,-1.2700000000000102,-3.205999999999989,1.4760000000000275,-2.5459999999999923,-2.2719999999999914,-4.474000000000018
Binyu Yang,CHN,2.0,2.7239999999999895,9.466000000000008,-0.45599999999998886,1.9780000000000086,
Brittany Bowe,USA,-0.06999999999999318,1.024000000000001,5.176000000000016,-3.8760000000000048,-0.3919999999999959,-3.974000000000018
Elisa Dul,NED,,,,,0.2580000000000098,
Elizaveta Golubeva,KAZ,,,,0.9039999999999964,3.4080000000000155,0.1560000000000059
Fran Vanhoutte,BEL,6.1699999999999875,6.604000000000013,,2.6440000000000055,3.9780000000000086,3.0260000000000105
Francesca Lollobrigida,ITA,4.22999999999999,2.7040000000000077,10.376000000000005,,10.648000000000025,5.346000000000004
Giorgia Aiello,ITA,,,10.376000000000005,,,
Giorgia Birkeland,USA,,,,-3.8760000000000048,,-3.974000000000018
Greta Myers,USA,-0.06999999999999318,1.024000000000001,5.176000000000016,,-0.3919999999999959,
Hana Noake,JPN,,,,,-2.2719999999999914,-4.474000000000018
Hanna Svenni,NOR,4.449999999999989,6.093999999999994,6.906000000000006,,,
Isabelle Weidemann,CAN,3.1399999999999864,2.8640000000000043,3.6660000000000252,-3.966000000000008,-2.001999999999981,-4.873999999999995
Isabelle van Elst,BEL,6.1699999999999875,6.604000000000013,,2.6440000000000055,3.9780000000000086,3.0260000000000105
Ivanie Blondin,CAN,3.1399999999999864,2.8640000000000043,3.6660000000000252,-3.966000000000008,-2.001999999999981,-4.873999999999995
Ji-Woo Park,KOR,,,,,6.688000000000017,12.085999999999984
Jiaxuan Li,CHN,,,,-0.45599999999998886,,-1.3240000000000123
Josephine Schlörb,GER,2.3400000000000034,1.3640000000000043,4.196000000000026,1.6940000000000168,-0.02199999999999136,-1.5440000000000111
Josie Hofmann,GER,2.3400000000000034,1.3640000000000043,4.196000000000026,,-0.02199999999999136,-1.5440000000000111
Joy Beune,NED,-2.819999999999993,-4.295999999999992,-0.9839999999999804,,0.2580000000000098,-5.033999999999992
Jundan Hou,CHN,,,,,1.9780000000000086,-1.3240000000000123
Kaitlyn McGregor,SUI,8.930000000000007,7.084000000000003,,10.144000000000005,4.578000000000003,3.5260000000000105
Karolina Bosiek,POL,5.990000000000009,,,,,
Lea Sophie Scholz,GER,2.3400000000000034,1.3640000000000043,4.196000000000026,1.6940000000000168,-0.02199999999999136,-1.5440000000000111
Leewon Lim,KOR,,,,,6.688000000000017,12.085999999999984
Linda Rossi,ITA,,,,,10.648000000000025,5.346000000000004
Lucie Korvasova,CZE,,,,,4.4480000000000075,
Magdalena Czyszczoń,POL,,,,4.674000000000007,,
Maira Jasch,GER,,,,1.6940000000000168,,
Marijke Groenewoud,NED,-2.819999999999993,-4.295999999999992,-0.9839999999999804,,,-5.033999999999992
Marte Bjerkreim Furnée,NOR,,,,0.02400000000000091,7.038000000000011,3.3559999999999945
Martina Sáblíková,CZE,8.370000000000005,,,,4.4480000000000075,
Mei Han,CHN,,2.7239999999999895,,-0.45599999999998886,1.9780000000000086,-1.3240000000000123
Mia Manganello,USA,-0.06999999999999318,1.024000000000001,5.176000000000016,-3.8760000000000048,-0.3919999999999959,-3.974000000000018
Miho Takagi,JPN,-1.2700000000000102,-3.205999999999989,1.4760000000000275,-2.5459999999999923,-2.2719999999999914,-4.474000000000018
Momoka Horikawa,JPN,-1.2700000000000102,-3.205999999999989,1.4760000000000275,,,
Nadezhda Morozova,KAZ,,,,0.9039999999999964,3.4080000000000155,0.1560000000000059
Nadja Wenger,SUI,,,,10.144000000000005,,3.5260000000000105
Natalia Czerwonka,POL,,,,4.674000000000007,4.00800000000001,4.1159999999999854
Natalia Jabrzyk,POL,5.990000000000009,,,,4.00800000000001,4.1159999999999854
Nikola Zdráhalova,CZE,8.370000000000005,,,,4.4480000000000075,
Olga Piotrowska,POL,5.990000000000009,,,4.674000000000007,,
Ragne Wiklund,NOR,4.449999999999989,6.093999999999994,6.906000000000006,0.02400000000000091,7.038000000000011,3.3559999999999945
Ramona Härdi,SUI,8.930000000000007,7.084000000000003,,10.144000000000005,4.578000000000003,3.5260000000000105
Sandrine Tas,BEL,6.1699999999999875,6.604000000000013,,2.6440000000000055,3.9780000000000086,3.0260000000000105
Soo-Min Kang,KOR,,,,,6.688000000000017,12.085999999999984
Sumire Kikuchi,JPN,,,,-2.5459999999999923,,
Valerie Maltais,CAN,3.1399999999999864,2.8640000000000043,3.6660000000000252,-3.966000000000008,-2.001999999999981,-4.873999999999995
Vera Güntert,SUI,8.930000000000007,7.084000000000003,,,4.578000000000003,
Wenjing Jin,CHN,2.0,,9.466000000000008,,,
Zofia Braun,POL,,,,,4.00800000000001,4.1159999999999854
Zuzana Kursova,CZE,8.370000000000005,,,,,
