Athlete,Country,Win_Prob
Jordan Stolz,USA,0.4175
Jenning de Boo,NED,0.253
Joon-Ho Kim,KOR,0.0527
Laurent Dubreuil,CAN,0.0511
Damian Żurek,POL,0.0077
Wataru Morishige,JPN,0.0039
Marek Kania,POL,0.0097
Tatsuya Shinhama,JPN,0.0257
Yevgeniy Koshkin,KAZ,0.1482
Sebastian Diniz,NED,0.0091
Cooper Mcleod,USA,0.0024
Bjørn Magnussen,NOR,0.0
Yuuta Hirose,JPN,0.0001
Janno Botman,NED,0.0001
Marten Liiv,EST,0.0002
Katsuhiro Kuratsubo,JPN,0.004
Merijn Scheperkamp,NED,0.0007
Stefan Westenbroek,NED,0.0
Ryota Kojima,JPN,0.0
Joep Wennemars,NED,0.0
Ziwen Lian,CHN,0.0
Taiyo Nonomura,JPN,0.0
Yankun Zhao,CAN,0.0
Piotr Michalski,POL,0.0
Sanghyeok Cho,KOR,0.0
Kyungmin Koo,KOR,0.0
Nil Llop Izquierdo,ESP,0.0
Anders Johnson,CAN,0.0
Mats van den Bos,NED,0.0
Christopher Fiola,CAN,0.0
Jae-Woong Jeong,KOR,0.0
Zach Stoppelmoor,USA,0.0
Yuuma Murakami,JPN,0.0
Ze Liu,CHN,0.0
Haonan Du,CHN,0.0
Issa Gunji,JPN,0.0
Dai Dai Ntab,NED,0.0
Jeffrey Rosanelli,ITA,0.0
Altaj Zjardembekuly,KAZ,0.0
Cédrick Brunet,CAN,0.0
Mateusz Mikołajuk,POL,0.0
Tingyu Gao,CHN,0.0099
Siver Brattgjerd,NOR,0.0
Artur Galiyev,KAZ,0.0
Henrik Fagerli Rukke,NOR,0.0
Pål Myhren Kristensen,NOR,0.0
Bin Liu,CHN,0.0
Szymon Wojtakowski,POL,0.0
Serge Yoro,NED,0.0
Zhiwen Xue,CHN,0.004
David Bosa,ITA,0.0
Tae-Yun Kim,KOR,0.0
Conor Mcdermott-Mostowy,USA,0.0
Austin Kleba,USA,0.0
Alec Sklutovsky,USA,0.0
Kacper Abratkiewicz,POL,0.0
Nikita Vazhenin,KAZ,0.0
Hendrik Dombek,GER,0.0
Mathias Vosté,BEL,0.0
Erik Resell,NOR,0.0
Cristian Landrø Magnussen,NOR,0.0
Wei-Lin Tai,TPE,0.0
Maximilian Strübe,GER,0.0
Antoine Roger,CAN,0.0
Daniel Milagros,ESP,0.0
Jakub Piotrowski,POL,0.0
Moritz Klein,GER,0.0
Antoni Pluta,POL,0.0
Mateusz Śliwka,POL,0.0
Min-Seok Kim,HUN,0.0
Jhoan Sebastian Guzman Bitar,ESP,0.0
Ignaz Gschwentner,AUT,0.0
Tuukka Suomalainen,FIN,0.0
Oliver Grob,SUI,0.0
Cornelius Kersten,GBR,0.0
Sebastian Forsmark,SWE,0.0
Gabriel Eduard Nitu,ROU,0.0
Kai in 't Veld,GRE,0.0
Joonas Valge,EST,0.0
Robbe Beelen,BEL,0.0
Botond Bejczi,HUN,0.0
Max Kokko,FIN,0.0
Bálint Bödei,HUN,0.0
Prokop Stodola,CZE,0.0
